id,title,company,location,post_date,work_type,applicant_count,description,data_analyst,bi_analyst,data_engineer,data_scientist,etl_developer,business_information,analyst,python,r,scala,mysql,postgresql,sql,mongodb,redis,sqlite,sql server,bigquery,nosql,talend,dataiku,pentaho,snowflake,hive,spark,kafka,kinesis,aws,gcp,azure,kubernetes,docker,hadoop,excel,powerpoint,word,pdf,csv,sheet,matplotlib,seaborn,plotly,bokeh,d3js,redash,tableau,powerbi,data_visualization,data_mining,communication,deployment,data_scraping,programming,english,etl,git,lat,lng
3173949569,Data Analyst,Paper.id,Duri Utara,1 week ago,On-site,200,"company description: kami menghadirkan sebuah platform pembayaran antar bisnis dan terintegrasi bagi para pebisnis mulai kecil hingga besar, agar operasional bisnis tetap berjalan lancar serta arus kas anti macet. job description:

data analyst",1,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6815935500000001,101.62616498385191
3182100767,Data Analyst,OY! Indonesia,Jakarta,1 week ago,,188,"act as the in-house statistical expert for the team and provide customer / product insight based on data-driven analytics to increase performance of business users
liaise and work with senior stakeholders across different business functions to ensure the business growth is on-track.
build a strong and detail experiment framework to determine proper metrics for performance tracking.
create performance report, prepare report and presentations, and develop dashboards that provide insights and visualization on okr's, projection and historical performance
analyze large amounts of information to discover trends and patterns
present information using data visualization techniques
propose solutions and strategies to business challenges
build predictive models and machine-learning algorithms
minimum qualifications
bachelor degree in computer science, mathematics, statistics or related fields
at least 1 year(s) of working experience in the related field is required for this position
collecting data, researching ,developing and implementing data- gathering methods
collaboration mindset
data driven mindset with the ability to develop insightful reports, dashboards and presentations.
analytical mind with problem-solving attitude
firm understanding of statistics and database
proven experience with programming for data analysis
ability to work in a fast-paced environment
proven experience to build predictive and prescriptive analytics model
strong communication skills
strong sql, python/r
strong logic at business and data.",1,0,0,0,0,0,1,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,-6.1753942,106.827183
3184486252,Data Analyst,PT. Equityworld Futures,Surabaya,2 days ago,On-site,30,"the ideal candidate will use their passion for big data and analytics to provide insights to the business covering a range of topics. they will be responsible for conducting both recurring and ad hoc analysis for business users.
responsibilities
understand the day-to-day issues that our business faces, which can be better understood with data
compile and analyze data related to business' issues
develop clear visualizations to convey complicated data in a straightforward
interpret data to recognize changing trends, patterns, and their meaning related to key performance indicators

qualifications
bachelor's or master's degree in accounting, economics, finance, statistics or applied mathematics or equivalent experience
1 - 2 years' data analysis experience
fresh graduated are welcome
placement : surabaya",1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-7.2459717,112.7378266
3178151557,Data Analyst,SIRCLO,Tangerang,1 week ago,,174,"responsibilities
collect, manipulate, analyze, and interpret data into actionable insights.
collaborate with data engineers, data science, and other stakeholders to support impactful business decisions.
provide stakeholders with data to support data-driven decision-making processes.
regularly re-map as well as review query & insight dashboard, take initiative to address issues & challenges, and follow up to ensure resolution.
ensure the availability of high quality data and insights across the company.
requirements
have working experience as data analyst, business intelligence, or other related fields in analytical roles will be an advantage.
enjoy working with data and numbers.
strong structured problem-solving skills and business acumen.
highly proficient in data manipulation tools (microsoft excel, google spreadsheet, pandas python).
proficient with sql (especially bigquery and postgresql dialect).
passionate about the e-commerce and startup industry.
comfortable in translating business problems into actionable steps.",1,0,0,0,0,0,1,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-6.1761924,106.6382161
3157091177,Data Analyst,GrosirOne,Tangerang Selatan,1 month ago,On-site,164,"company description: grosirone job description:
menghandle keseluruhan data yang dibutuhkan oleh team berbagai divisi
melakukan analisa data, membuat kesimpulan dan laporan yang ditujukan kepada klien berdasarkan hasil analisis yang dibuat
bekerja sama dengan tim untuk memprovide data yang dibutuhkan berbagai divisi untuk pengembangan perusahaan
mengembangkan statistical method dan machine learning yang dibutuhkan perusahaan
melakukan ekstraksi data dari berbagai sumber",1,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-6.322232,106.7081632
3195609140,Data Analyst,KOMPAS GRAMEDIA,Purwakarta,2 days ago,On-site,105,"job description

melakukan analisa kinerja produksi sehingga dapat memberikan umpan balik untuk perbaikan proses produksi.

minimum qualifications
pendidikan s1 statistika
memiliki kemampuan analisa, pengolahan dan perencanaan data yang baik
memiliki kemampuan komunikasi & kemampuan presentasi yang baik
about kompas gramedia

kompas gramedia, through its more than 50 years of history, is striving for one goal: enlightening and empowering indonesia. to ensure that we are able to serve the nation for another 50 years, we are undergoing a digital transformation; strengthening and expanding our solid business pillars by developing new digital business initiatives. our vision is to enlight all the people in indonesia with all the knowledge we have.",1,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,-6.20836555,106.79451100937
3183762161,Data Analyst,Summit Institute of Development,Mataram,4 weeks ago,On-site,12,"company description: yayasan institut pengembangan suara mitra atau dikenal juga sebagai summit institute of development (sid) secara resmi berdiri pada tahun 2007. ide untuk membentuk yayasan tersebut berasal dari beberapa mantan anggota senior tim manajemen program summit. program summit merupakan sebuah penelitian dengan desain randomized controlled trial dalam skala besar yang dilakukan di pulau lombok, provinsi nusa tenggara barat, indonesia dengan tujuan untuk mengurangi angka kematian ibu dan angka kematian bayi dalam konteks perawatan rutin kehamilan. penelitian ini mengikutsertakan hampir 42,000 ibu hamil dan mempekerjakan sekitar 500 staf lapangan dari tahun 2001-2004. hasil penelitian menunjukkan bahwa kondisi kesehatan dapat ditingkatkan dengan meningkatkan pemeriksaan kehamilan secara rutin melalui pendekatan partisipatif dan peengambilan keputusan berdasarkan pada bukti-bukti. hal tersebut dapat dicapai melalui peningkatan kualitas sumber daya manusia. oleh karena itu, sid berupaya untuk meningkatkan kesehatan dan membangun manusia di tingkat masyarakat melalui pengambilan keputusan partisipatif berbasis bukti dan aksi yang berkelanjutan. job description:

data analyst",1,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-8.5823212,116.1194724
3176107130,Data Analyst,GTech Digital Asia,Jakarta,1 week ago,,42,"data analyst in the big data team is responsible for the overall business analytics, actionable analytics, data modelling and pipeline, data visualization, reporting and supporting the business teams with adhoc requests.

job description
responsible for the delivery of business analytics and insights that drive the overall business across various verticals of gtech including retail, banking, pharma, public sector, manufacturing etc.
responsible for analyzing the data with application of advanced analytics and visualizations
requirements
3-8 years of work experience in end to end data visualization and analytics
bachelors/master’s degree in computer science/statistics/management
ability to structure problems through a data driven decision-making process, ability to identify and draw on leading-edge analytical tools and techniques to develop creative approaches and new insights to business issues through data analysis
highly proficient in visualization tools like tableau( hands-on) is a strong pre-requisite
excellent knowledge of sql/plsql is mandatory
highly proficient with excel (preferably macros/vba), powerpoint, visio, outlook, and word applications
intermediate knowledge of etl tools like talend open source, good to have
excellent analytical thinking, analysis, and problem-solving skills
familiar with cloud tech stack",1,0,0,0,0,0,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,-6.1753942,106.827183
3167587336,Junior Data Analyst,Pt The Lorry Online Indonesia,Jakarta,2 weeks ago,On-site,102,"hi everyone!

the lorry online indonesia is hiring a junior data analyst - full time to help continue our rapid growth and solve our toughest logistic problems, we need a skilled data analyst with experience in building production ready api’s and scalable backend/server side applications.

key highlights flexible work environment, aws + google cloud stack, ci/cd practices, ml and optimization projects, experienced seniors, knowledge sharing culture. key responsibilities if you love to solve problems and add value, please consider what your typical days might look like: drive and uphold high engineering standards, bringing consistency to the analysis you encounter and ensuring your analysis is adequately reviewed, tested, and perceived. ability to work with stakeholders to assess potential risks. ability to analyze existing tools and databases and provide software solution recommendations. ability to translate business requirements into non-technical, lay terms. high-level experience in methodologies and processes for managing large-scale databases. demonstrated experience in handling large data sets and relational databases. understanding of addressing and metadata standards. key requirements at least one year of experience using languages such as python, sql and frameworks such as fast api & flask. provide quality assurance of imported data, working with quality assurance analysts if necessary. commissioning and decommissioning of data sets. processing confidential data and information according to guidelines. helping develop reports and analysis. generating reports from single or multiple systems. troubleshooting the reporting database environment and reports. evaluating changes and updates to source production systems. training end-users on new reports and dashboards. providing technical expertise in data storage structures, data mining, and data cleansing. bonus points knowledge of optimization techniques, multiprocessing design principles and tdd using python is a plus. experience with nosql and streaming platforms, e.g. kafka, mongodb, neo4j is a plus experience with advanced analytics and modern machine learning techniques is a plus experience with cloud native services such as dataflow & bigquery is a plus",1,0,0,0,0,0,1,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-6.1753942,106.827183
3129444892,Data Analyst,detikcom,Jakarta,1 month ago,,200,"job responsibilities
importing, cleaning, transforming, validating, or modeling data with the purpose of understanding or making conclusions from the data for decision-making purposes.
presenting data in charts, graphs, tables.
designing and developing data collection and interaction models.
requirements
educational background is flexible but we do encourage those from sociology, informatics system, statistics, anthropology, psychology, economic science, or computer science/engineering majors.
having 2-3 years of experience as a data analyst.
experience managing and analyzing data.
data visualization experience.
familiar with digital products and systems.
familiarity with r, python data packages, google analytics and comscore is a big plus
can use spreadsheet software with a good understanding of using formulas.
willing to learn.",1,0,0,0,0,0,1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-6.1753942,106.827183
3171116874,Data Analyst,Bumi Amartha Teknologi Mandiri,Jakarta,2 weeks ago,,102,"acquire data from primary or secondary data sources and maintain databases/data systems.
filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems.
interpret data, analyze results using statistical techniques and provide ongoing reports.
develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality.
work closely with management to prioritize business and information needs.
minimum qualifications
bs/ms/phd in a business, it, mathematics, science or engineering discipline.
have the ability to translate business requirements into non-technical, layman's terms.
strong sql skills for data analytics and a good understanding of statistics.
experience with visualisation tools such as tableau, data studio.
experience with one of the following languages: python, r, java, c/c++ and scala.
familiar with containerisation (docker) and orchestration tools (kubernetes).
good working knowledge of productivity tools such as g suite, git, jira, confluence.",1,0,0,0,0,1,1,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,-6.1753942,106.827183
